Link,Date,Title,Type
https://kreier.github.io/quartz/About-the-blog,2025-10-20,About the blog,quartz
https://kreier.github.io/quartz/Blog/2020/06/Start-of-my-third-Sabbatical,2020-06-01,Start of my third Sabbatical,quartz
https://kreier.github.io/quartz/Blog/2020/06/Third-Sabbatical,2020-06-01,Third Sabbatical,quartz
https://kreier.github.io/quartz/Blog/2023/11/Núi-Đinh-I,2023-11-01,Núi Đinh I,quartz
https://kreier.github.io/quartz/Blog/2024/11/A-humble-beginning-2024,2024-11-01,A humble beginning 2024,quartz
https://kreier.github.io/quartz/Blog/2024/11/First-use-of-Obsidian,2024-11-01,First use of Obsidian,quartz
https://kreier.github.io/quartz/Blog/2024/11/Ideas-about-the-Structure-of-my-Obsidian-vault,2024-11-01,Ideas about the Structure of my Obsidian vault,quartz
https://kreier.github.io/quartz/Blog/2024/11/Note-the-second,2024-11-01,Note the second,quartz
https://kreier.github.io/quartz/Blog/2024/12/Writing-pages-in-Obsidian,2024-12-01,Writing pages in Obsidian,quartz
https://kreier.github.io/quartz/Blog/2025/06/Discover-a-new-Ice-Cream,2025-06-01,Discover a new Ice Cream,quartz
https://kreier.github.io/quartz/Blog/2025/06/Núi-Thị-Vải-I,2025-06-01,Núi Thị Vải I,quartz
https://kreier.github.io/quartz/Blog/2025/07/Núi-Thị-Vải-II,2025-07-01,Núi Thị Vải II,quartz
https://kreier.github.io/quartz/Blog/2025/07/Núi-Đinh-II,2025-07-01,Núi Đinh II,quartz
https://kreier.github.io/quartz/Blog/2025/10/Official-start-of-my-study-at-Su-Pham-and-Extension-of-a-few-projects,2025-10-01,Official start of my study at Su Pham and Extension of a few projects,quartz
https://kreier.github.io/quartz/Blog/2025/10/Quartz-4-and-GitHub-for-notes-with-Obsidian,2025-10-01,Quartz 4 and GitHub for notes with Obsidian,quartz
https://kreier.github.io/quartz/Blog/2025/10/Reactivated-2025,2025-10-01,Reactivated 2025,quartz
https://kreier.github.io/quartz/Blog/2025/12/Black-Virgin-Mountain-II,2025-12-01,Black Virgin Mountain II,quartz
https://kreier.github.io/quartz/Blog/2025/12/Novel-Word-Count-and-Quartz-Update,2025-12-01,Novel Word Count and Quartz Update,quartz
https://kreier.github.io/quartz/Blog/2026/01/Black-Virgin-Mountain-III,2026-01-01,Black Virgin Mountain III,quartz
https://kreier.github.io/quartz/Blog/2026/02/Black-Virgin-Mountain-IV,2026-02-01,Black Virgin Mountain IV,quartz
https://kreier.github.io/quartz/Diary/1975,1975-01-01,1975,quartz
https://kreier.github.io/quartz/Diary/1976,1976-01-01,1976,quartz
https://kreier.github.io/quartz/Diary/1977,1977-01-01,1977,quartz
https://kreier.github.io/quartz/Diary/1978,1978-01-01,1978,quartz
https://kreier.github.io/quartz/Diary/1979,1979-01-01,1979,quartz
https://kreier.github.io/quartz/Diary/1980,1980-01-01,1980,quartz
https://kreier.github.io/quartz/Diary/1981,1981-01-01,1981,quartz
https://kreier.github.io/quartz/Diary/1982,1982-01-01,1982,quartz
https://kreier.github.io/quartz/Diary/1983,1983-01-01,1983,quartz
https://kreier.github.io/quartz/Diary/1984,1984-01-01,1984,quartz
https://kreier.github.io/quartz/Diary/1985,1985-01-01,1985,quartz
https://kreier.github.io/quartz/Diary/1986,1986-01-01,1986,quartz
https://kreier.github.io/quartz/Diary/1987,1987-01-01,1987,quartz
https://kreier.github.io/quartz/Diary/1988,1988-01-01,1988,quartz
https://kreier.github.io/quartz/Diary/1989,1989-01-01,1989,quartz
https://kreier.github.io/quartz/Diary/1990,1990-01-01,1990,quartz
https://kreier.github.io/quartz/Diary/1991,1991-01-01,1991,quartz
https://kreier.github.io/quartz/Diary/1992,1992-01-01,1992,quartz
https://kreier.github.io/quartz/Diary/1993,1993-01-01,1993,quartz
https://kreier.github.io/quartz/Diary/1994,1994-01-01,1994,quartz
https://kreier.github.io/quartz/Diary/1995,1995-01-01,1995,quartz
https://kreier.github.io/quartz/Diary/1996,1996-01-01,1996,quartz
https://kreier.github.io/quartz/Diary/1997,1997-01-01,1997,quartz
https://kreier.github.io/quartz/Diary/1998,1998-01-01,1998,quartz
https://kreier.github.io/quartz/Diary/1999,1999-01-01,1999,quartz
https://kreier.github.io/quartz/Diary/2000,2000-01-01,2000,quartz
https://kreier.github.io/quartz/Diary/2001,2001-01-01,2001,quartz
https://kreier.github.io/quartz/Diary/2002,2002-01-01,2002,quartz
https://kreier.github.io/quartz/Diary/2003,2003-01-01,2003,quartz
https://kreier.github.io/quartz/Diary/2004,2004-01-01,2004,quartz
https://kreier.github.io/quartz/Diary/2005,2005-01-01,2005,quartz
https://kreier.github.io/quartz/Diary/2006,2006-01-01,2006,quartz
https://kreier.github.io/quartz/Diary/2007,2007-01-01,2007,quartz
https://kreier.github.io/quartz/Diary/2008,2008-01-01,2008,quartz
https://kreier.github.io/quartz/Diary/2009,2009-01-01,2009,quartz
https://kreier.github.io/quartz/Diary/2010,2010-01-01,2010,quartz
https://kreier.github.io/quartz/Diary/2011,2011-01-01,2011,quartz
https://kreier.github.io/quartz/Diary/2012,2012-01-01,2012,quartz
https://kreier.github.io/quartz/Diary/2013,2013-01-01,2013,quartz
https://kreier.github.io/quartz/Diary/2014,2014-01-01,2014,quartz
https://kreier.github.io/quartz/Diary/2015,2015-01-01,2015,quartz
https://kreier.github.io/quartz/Diary/2016,2016-01-01,2016,quartz
https://kreier.github.io/quartz/Diary/2017,2017-01-01,2017,quartz
https://kreier.github.io/quartz/Diary/2018,2018-01-01,2018,quartz
https://kreier.github.io/quartz/Diary/2019,2019-01-01,2019,quartz
https://kreier.github.io/quartz/Diary/2020,2020-01-01,2020,quartz
https://kreier.github.io/quartz/Diary/2021,2021-01-01,2021,quartz
https://kreier.github.io/quartz/Diary/2022,2022-01-01,2022,quartz
https://kreier.github.io/quartz/Diary/2023,2023-01-01,2023,quartz
https://kreier.github.io/quartz/Diary/2024,2024-01-01,2024,quartz
https://kreier.github.io/quartz/Diary/2025,2025-01-01,2025,quartz
https://kreier.github.io/quartz/Diary/2026,2026-01-01,2026,quartz
https://kreier.github.io/quartz/Projects/Computer/E3-1226-v3-with-GTX-1060,1226-01-01,E3-1226 v3 with GTX 1060,quartz
https://kreier.github.io/quartz/Projects/Computer/E5-2696-v3-with-128-GB-RAM,2696-01-01,E5-2696 v3 with 128 GB RAM,quartz
https://kreier.github.io/quartz/Projects/Computer/HP-EliteDesk-800-G4-TWR,2025-01-09,HP EliteDesk 800 G4 TWR,quartz
https://kreier.github.io/quartz/Projects/Computer/HP-ProDesk-600-G4-mini-i5-8500T,2024-01-11,HP ProDesk 600 G4 mini i5-8500T,quartz
https://kreier.github.io/quartz/Projects/Computer/MXQ-Pro-4K,2024-02-03,MXQ Pro 4K,quartz
https://kreier.github.io/quartz/Projects/Computer/Penta-GPU-server-i3-6100,6100-01-01,Penta-GPU server i3-6100,quartz
https://kreier.github.io/quartz/Projects/Computer/Raspberry-Pi-3-with-1-GB-RAM,2024-02-12,Raspberry Pi 3 with 1 GB RAM,quartz
https://kreier.github.io/quartz/Projects/Computer/Raspberry-Pi-4-with-4-GB-RAM,2026-02-13,Raspberry Pi 4 with 4 GB RAM,quartz
