Link,Date,Title,Type
https://saiht.de/blog/2025/12/19/history-of-course-615/,2025-12-19,History of course 615,wordpress
https://saiht.de/blog/2025/12/18/reactivation-2025/,2025-12-18,Reactivation 2025,wordpress
https://saiht.de/blog/2025/11/18/teacher-day-in-vietnam/,2025-11-18,Teacher day in Vietnam,wordpress
https://saiht.de/blog/2025/10/19/12-years-down-four-more-years-to-go/,2025-10-19,12 years down &#8211; four more years to go,wordpress
https://saiht.de/blog/2025/06/05/gehen-wir-noch-einen-trinken/,2025-06-05,Gehen wir noch einen trinken?,wordpress
https://saiht.de/blog/2025/06/04/two-visitors-from-germany/,2025-06-04,Two visitors from Germany,wordpress
https://saiht.de/blog/2019/03/26/ai-und-ml/,2019-03-26,AI und ML,wordpress
https://saiht.de/blog/2019/03/05/sciencefair-2019/,2019-03-05,Sciencefair 2019,wordpress
https://saiht.de/blog/2017/03/12/spring-race-10km-um-den-golfplatz/,2017-03-12,Spring Race 10km um den Golfplatz,wordpress
https://saiht.de/blog/2017/02/28/waffelverkauf/,2017-02-28,Waffelverkauf,wordpress
https://saiht.de/blog/2017/01/15/who-is-faster-you-or-the-city/,2017-01-15,You or the City &#8211; Who is faster?,wordpress
https://saiht.de/blog/2017/01/13/berichte-von-kollegen/,2017-01-13,Berichte von Kollegen,wordpress
https://saiht.de/blog/2016/09/17/am-strand-von-vung-tau/,2016-09-17,Am Strand von Vũng Tàu,wordpress
https://saiht.de/blog/2016/09/16/ernaehrungsumstellung/,2016-09-16,Ernährungsumstellung,wordpress
https://saiht.de/blog/2016/09/12/langsames-internet/,2016-09-12,Langsames Internet,wordpress
https://saiht.de/blog/2016/09/09/holzwerkstatt-1-regal-in-timelapse/,2016-09-09,Holzwerkstatt 1 &#8211; Regal in TimeLapse,wordpress
https://saiht.de/blog/2016/09/09/fahrt-zur-schule-mit-der-gopro-yi-xiaomi/,2016-09-09,Fahrt zur Schule mit der GoPro (Yi Xiaomi),wordpress
https://saiht.de/blog/2016/09/03/topcase-fuer-das-motorrad/,2016-09-03,Topcase für das Motorrad,wordpress
https://saiht.de/blog/2016/09/02/holzbestellung-fuer-die-holzwerkstatt/,2016-09-02,Holzbestellung für die Holzwerkstatt,wordpress
https://saiht.de/blog/2016/08/29/vier-klassen-in-einer-klasse/,2016-08-29,Vier Klassen in einer Klasse?,wordpress
https://saiht.de/blog/2016/08/27/ueberschwemmte-schule/,2016-08-27,überschwemmte Schule,wordpress
https://saiht.de/blog/2016/08/26/erster-schultag/,2016-08-26,Erster Schultag,wordpress
https://saiht.de/blog/2016/08/17/bankkonto-3-bidv-und-vietin/,2016-08-17,Bankkonto 3: BIDV und Vietin,wordpress
https://saiht.de/blog/2016/08/16/rfid-fuer-die-tiefgarage/,2016-08-16,RFID für die Tiefgarage,wordpress
https://saiht.de/blog/2016/08/15/wasserpuppentheater-hanoi/,2016-08-15,Wasserpuppentheater Hanoi,wordpress
https://saiht.de/blog/2016/08/14/ha-long-bucht/,2016-08-14,Ha-Long Bucht,wordpress
https://saiht.de/blog/2016/08/13/willkommen-in-hanoi/,2016-08-13,Willkommen in Hanoi,wordpress
https://saiht.de/blog/2016/08/12/reifendruckkontrolle-auf-vietnamesisch/,2016-08-12,Reifendruckkontrolle auf vietnamesisch,wordpress
https://saiht.de/blog/2016/08/11/fuehrungszeugnis-konsulat/,2016-08-11,Führungszeugnis Konsulat,wordpress
https://saiht.de/blog/2016/08/10/ankunft-saigon/,2016-08-10,Übergangswohnung und neu mit FTTH,wordpress
https://saiht.de/blog/2016/08/09/bankkonto-2-sc-vn-die-zweite/,2016-08-09,Bankkonto 2: sc.vn die Zweite,wordpress
https://saiht.de/blog/2016/08/08/bankkonto-1-standard-chartered/,2016-08-08,Bankkonto 1: Standard Chartered,wordpress
https://saiht.de/blog/2016/08/07/shoppen-am-sonntag/,2016-08-07,Shoppen am Sonntag,wordpress
https://saiht.de/blog/2016/08/06/nicos-hochzeit/,2016-08-06,Nico&#8217;s Hochzeit,wordpress
