Link,Date,Title,Word Count,Character Count
https://github.com/kreier/128x64/commit/39128c24d648fc15e044c7fce8fa612768d364b5,2025-10-14,[kreier/128x64] include visuals for this project,5,32
https://github.com/kreier/128x64/commit/446f239175ffb16187f7420e45c97781101edc68,2024-01-09,[kreier/128x64] flying toasters working without PROGMEM,5,39
https://github.com/kreier/128x64/commit/9e317fbb58182568812e1a9070b7941d2362e5e3,2024-01-09,[kreier/128x64] 3 examples for circuitpython on oled,6,36
https://github.com/kreier/128x64/commit/0c79472540a96b6065daa8209c494e5b7c2fb68c,2024-01-09,[kreier/128x64] Create hello_world.py,3,21
https://github.com/kreier/128x64/commit/beda7ff61f7e3e05aef2d0eadc9c321839406871,2024-01-06,"[kreier/128x64] fixed mistakes, WF1 is a good start for 32px displays",10,53
https://github.com/kreier/128x64/commit/f61d05b0813cfffb17dc9ba3827bb01b987ea802,2024-01-06,[kreier/128x64] expanded documentation,2,22
https://github.com/kreier/128x64/commit/e2ef11cee242db8c02b13986a264927e99a748e2,2024-01-06,[kreier/128x64] Update README.md,3,16
https://github.com/kreier/128x64/commit/b82d1ebea9ffd7d35a0e6f697abb0bb4333f0b3d,2024-01-06,[kreier/128x64] Initial commit,2,14
https://github.com/kreier/407B/commit/cb59e424e8882b698eac060e15fbe69b8a2c7b51,2020-12-16,"[kreier/407B] repository, branch and folder fixed",5,35
https://github.com/kreier/407B/commit/355ce08a96d2d5d6cae799bcd756128532e7ec64,2020-05-26,[kreier/407B] Update LICENSE,2,14
https://github.com/kreier/407B/commit/32bcdabead311ec0fe2b8b253221acc1d44155f3,2020-05-26,[kreier/407B] Update README.md,3,16
https://github.com/kreier/407B/commit/c0a41fa247d452d1790b36daacaa2ebb71ad22dc,2020-05-26,[kreier/407B] Set theme jekyll-theme-time-machine,6,35
https://github.com/kreier/407B/commit/cc06cefa6ba168d19e47015eb25c6acd6364a13a,2020-05-26,[kreier/407B] Update README.md,3,16
https://github.com/kreier/407B/commit/dcc977852def53f7881bbd0378dcce3210e5d415,2019-11-13,[kreier/407B] Update _config.yml,3,18
https://github.com/kreier/407B/commit/b128703175b5305303cce6188decd9ad7c18ab9f,2019-11-13,[kreier/407B] Set theme jekyll-theme-slate,5,28
https://github.com/kreier/407B/commit/fde0989a59b217e16c04296541bc2d3816cbb283,2019-11-01,[kreier/407B] function to return string with uptime,6,37
https://github.com/kreier/407B/commit/f984dac8ce27bae8a4bf493c9fe1d47c1467698e,2019-11-01,[kreier/407B] rollover in comparison (2 unsigned long) fixed,7,46
https://github.com/kreier/407B/commit/f50efe3165c1ac1a684f7d179b66057b7cd06de5,2019-10-31,[kreier/407B] int overflow minutes correction,4,31
https://github.com/kreier/407B/commit/676bc63d1ee5b6e04f0d76c18b1e51fbb9c77b99,2019-10-28,[kreier/407B] minutes overrun bug fixed in tuptime,6,36
https://github.com/kreier/407B/commit/68697c32b1d8c544d8432f924002dd8c8e448bac,2019-10-25,[kreier/407B] ultrasonic distance and IR proximity with uptime counter,8,56
https://github.com/kreier/407B/commit/748e433eb54b0556f93d8c6fe0da86118c11a40d,2019-10-25,[kreier/407B] sketch 2019-10-25 with german comments - unfinished,8,51
https://github.com/kreier/407B/commit/ceefbdd664f0c4942fd0579df4e544241827da2e,2019-10-25,[kreier/407B] Sketch from 2019-10-23,5,22
https://github.com/kreier/407B/commit/e5ac62dbedc59194e1d565486c07f326dcd129ab,2019-10-23,[kreier/407B] new example,2,11
https://github.com/kreier/407B/commit/7841fd8b1c973ab91930354284fa89f7e61c9e0d,2019-10-23,[kreier/407B] Create readme.md,3,16
https://github.com/kreier/407B/commit/708639409d40ce62d004310cc95a6cc7ea7e6817,2019-10-22,[kreier/407B] .flush() does not work and minor fixes,7,38
https://github.com/kreier/407B/commit/fd858ae6e9352243592d1ee4237c8792082d510b,2019-10-22,[kreier/407B] Add files via upload,4,20
https://github.com/kreier/407B/commit/1c21cf8953e097eca2ad29239f04a45bb040b746,2019-10-17,[kreier/407B] sensors and maps integraded,4,27
https://github.com/kreier/407B/commit/54f21473a158c2f39ef117652ca7e5cc570bb1ce,2019-10-17,[kreier/407B] Add files via upload,4,20
https://github.com/kreier/407B/commit/79cefc3d0f19498943e195c6f6033f63957ca955,2019-10-17,[kreier/407B] Create readme.md,3,16
https://github.com/kreier/407B/commit/6930da99c5822f2505132779b25e58a0c276ee0f,2019-10-17,[kreier/407B] sensors integraded,2,18
https://github.com/kreier/407B/commit/a796d36b1c59ad6df0962f1d0e969fe2bfe2eb61,2019-10-17,[kreier/407B] Create readme.md,3,16
https://github.com/kreier/407B/commit/965950dc2b26bebbdbfca06f5693ec10e364a1ba,2019-10-16,[kreier/407B] progress bar and uptime,4,23
https://github.com/kreier/407B/commit/a747a433a875a93e8f39332a7d3998580ea96a4d,2019-10-15,[kreier/407B] created 2016-01-26 for NaWi AG at Eichenschule Scheessel,10,56
https://github.com/kreier/407B/commit/0b75d533b7ca888bb04ae571f71d71e9bae2dcdf,2019-10-15,[kreier/407B] created 2016-01-26 in Hofkoh for NaWi-AG in grade 4 & 5 at the Eichenschule,16,75
https://github.com/kreier/407B/commit/c2bbc11fa8c84d626fc288693e0780cd391855bb,2019-10-10,[kreier/407B] Create readme.md,3,16
https://github.com/kreier/407B/commit/dce48a1d9d0e835775abe3baf150a34897564da3,2019-10-09,[kreier/407B] Add files via upload,4,20
https://github.com/kreier/407B/commit/9f63ca85b15e7220e19e363f35da00f0e0c7a935,2019-10-09,[kreier/407B] Create readme.md,3,16
https://github.com/kreier/407B/commit/59baf9fd6f2a8145faa18917753b452b5a735738,2019-10-09,[kreier/407B] image links fixed,3,17
https://github.com/kreier/407B/commit/7b19d680fca9538af48df377cea114a62446e1d1,2019-10-09,[kreier/407B] image links corrected,3,21
https://github.com/kreier/407B/commit/db420af4387ce30a11280fa002635a2ce92c6236,2019-10-09,[kreier/407B] Create readme.md,3,16
https://github.com/kreier/407B/commit/cfa6331638cb900fb7c52f6ea3820a56e0a75997,2019-10-08,[kreier/407B] Luke and Katie alias added,5,26
https://github.com/kreier/407B/commit/30915a385cfb16bdb5453ca60180c405b68f3378,2019-10-08,[kreier/407B] Update README.md,3,16
https://github.com/kreier/407B/commit/7d9de9aad284c3fed73912ba39f2f8309ba8b6e3,2019-10-07,[kreier/407B] Create nametag_aisvn.ino,3,24
https://github.com/kreier/407B/commit/1d15b8e380cc4ce2f47cb5f13ee10d418aa072bc,2019-10-07,[kreier/407B] Update README.md,3,16
https://github.com/kreier/407B/commit/4e52446fd372cb949e582132ca6375aaff981af7,2019-10-07,[kreier/407B] Initial commit,2,14
https://github.com/kreier/aa/commit/b12cb6216783fcfa514daae4220c35f3b0bba01f,2025-04-09,[kreier/aa] Merge branch 'main' of https://github.com/kreier/aa,9,51
https://github.com/kreier/aa/commit/820f6037d028d6b1a358687bd10a5c5125b8c4ae,2025-04-09,[kreier/aa] expand cross-references,3,23
https://github.com/kreier/aa/commit/74f83466e88c8d24add94c31bc6df99189cee0d4,2025-04-09,[kreier/aa] include reference link and some images,6,38
https://github.com/kreier/aa/commit/b0416486e715451eaaf53aadfb1d4d6e78a9af50,2025-04-09,[kreier/aa] Merge branch 'main' of https://github.com/kreier/aa,9,51
https://github.com/kreier/aa/commit/ea20cb1a272b546d8de31f6aa3189117c7515a02,2025-04-09,[kreier/aa] include standards,2,17
https://github.com/kreier/aa/commit/7b48eaef4963005fa6c6ecf826751208f5e49474,2025-04-09,[kreier/aa] include badges,2,14
https://github.com/kreier/aa/commit/8c94cb12f8ddf34efb87894104b3966eeb53f3ed,2025-04-09,[kreier/aa] documentation 2022-2023,3,23
https://github.com/kreier/aa/commit/62e2c93fff7329d62456610dc7f5e2bef8ff7cd5,2022-10-24,[kreier/aa] Merge pull request #1 from matthiaskreier/patch-1,8,49
https://github.com/kreier/aa/commit/1e5f91186ec64e69761e19d56dd0162a038c0b18,2022-10-21,[kreier/aa] Feather M0 artifacts,3,20
https://github.com/kreier/aa/commit/b3643a92e1fc7b5445f9c948bf111e23b1fc6e72,2022-10-21,[kreier/aa] restructured,1,12
https://github.com/kreier/aa/commit/ac14df117dc2245bbea3d72004285c9ba2231a94,2022-10-21,[kreier/aa] include Synology Diskstation,3,28
https://github.com/kreier/aa/commit/0fe6f6dc62f79ddb9ae06854224a1cf0f199c8e2,2022-09-07,[kreier/aa] scaffold for unit 2,4,19
https://github.com/kreier/aa/commit/ea7cd62d03942d8fdab4b6360dce70b49b2c6492,2022-09-07,[kreier/aa] link the first 9 days,5,21
https://github.com/kreier/aa/commit/fe1271b3aec9fad82d574d5573b54c06f8e65e1e,2022-09-07,[kreier/aa] detail fixed,2,12
https://github.com/kreier/aa/commit/2a02a92834a417798692cd3cce36869a815c4163,2022-09-07,[kreier/aa] updated structure,2,17
https://github.com/kreier/aa/commit/bd7c1fff0ebd6c932939eed37867b6d1aaf00db6,2022-09-06,[kreier/aa] Create 5-1_modularCodeExampleStart.js,4,37
https://github.com/kreier/aa/commit/0da697569d862a3fe88266dc8d973ac80e099899,2022-09-06,[kreier/aa] fix order of links,4,18
https://github.com/kreier/aa/commit/6c2d37fd133bb3fcea2a81a43db2db8e8f83b3ee,2022-09-06,[kreier/aa] extended to day 6 to 9,6,22
