Link,Date,Title,Word Count,Character Count
https://saiht.de/legacy/,2008-04-22,der saiht im internet,253,1617
https://saiht.de/legacy/impressum.html,2007-06-05,Impressum,594,3966
https://saiht.de/legacy/projekte/projekte.html,2009-01-20,Projekte des saiht,1744,11379
https://saiht.de/legacy/urlaub/urlaub.html,2013-06-22,Wo war der saiht im Urlaub?,2542,16398
https://saiht.de/legacy/freizeit/freizeit.html,2006-11-24,Freizeitaktivitten des saiht,843,5360
https://saiht.de/legacy/geschichte/geschichte.html,2006-11-01,interessante Fragen der Geschichte,519,3421
https://saiht.de/legacy/computer/computer.html,2009-03-24,Computerseite des saiht,540,3616
https://saiht.de/legacy/glossar/glossar.html,2006-11-10,Glossar,1975,14159
https://saiht.de/legacy/logfeile/logfeile.html,2010-04-05,Chronologie der saiht-Seiten,3001,18821
https://saiht.de/legacy/guestbook.html,2008-05-04,Gstebuch,1595,9883
https://saiht.de/legacy/hardware.html,2006-11-09,verwendete Hardware,837,5449
https://saiht.de/legacy/computer/html.html,2008-05-19,HTML-Seiten selbst erstellen,1253,7807
https://saiht.de/legacy/physik/physik.html,2008-03-25,Studium zum Diplom-Physiker,948,7058
https://saiht.de/legacy/projekte/01bibellesen.html,2009-02-19,Bibellesen,1152,7565
https://saiht.de/legacy/projekte/deutsch.html,2007-04-08,Bildung durch Lesen,1348,8974
https://saiht.de/legacy/projekte/02sdw.html,2010-10-10,Schule zur Dienstamtlichen Weiterbildung (SDW),3379,22656
https://saiht.de/legacy/projekte/02leben.html,2007-11-29,Kann Leben durch Zufall entstehen?,1385,9734
https://saiht.de/legacy/projekte/10wahrheit.html,2000-06-29,Was ist Wahrheit?,272,1847
https://saiht.de/legacy/projekte/08psychologie.html,2000-06-29,Psychologie,120,833
https://saiht.de/legacy/projekte/09propaganda.html,2003-06-29,Propaganda und Irrefhrungen,391,2625
https://saiht.de/legacy/projekte/03jesus.html,2006-02-09,Wann wurde Jesus geboren?,1755,11146
https://saiht.de/legacy/projekte/04ledigsein.html,2008-10-01,Grnde fr das Ledigsein,1641,10289
https://saiht.de/legacy/projekte/05exfreund.html,2006-01-25,Wieso wird aus so vielen Jungs bald ein Exfreund?,151,972
https://saiht.de/legacy/projekte/06papier.html,2005-07-29,Wie oft kann man ein Blatt Papier falten?,1006,6030
https://saiht.de/legacy/projekte/07abitur.html,2005-06-22,Wie erhlt man ein Abitur?,1137,7779
https://saiht.de/legacy/projekte/11freundschaft.html,2000-05-24,Freundschaft,249,1577
https://saiht.de/legacy/projekte/12freiheit.html,2006-04-06,Was ist Freiheit?,745,4856
https://saiht.de/legacy/projekte/13zeitleiste.html,2009-02-19,Zeitleiste,867,5472
https://saiht.de/legacy/projekte/14tag.html,2006-01-24,Wie lange ist ein Schpfungstag?,127,868
https://saiht.de/legacy/projekte/15nb100.html,2009-01-20,Festplattentausch am Toshiba NB-100,745,4620
https://saiht.de/legacy/projekte/umfang.html,2013-01-09,Statistik zu saiht.de,1106,5951
https://saiht.de/legacy/projekte/99leer.html,2006-01-24,Leerprojekt,101,667
https://saiht.de/legacy/urlaub/2013_usa.html,2014-01-13,USA 2013: From Eastcoast to Westcoast - and back! Including Canada,3177,20590
https://saiht.de/legacy/urlaub/2015_usa.html,2009-01-27,Per Auto quer durch den Osten Nordamerikas,866,5504
https://saiht.de/legacy/urlaub/2014_schottland.html,2009-01-27,Per Auto quer durch den Osten Nordamerikas,103,699
https://saiht.de/legacy/urlaub/2012_westeuropa.html,2013-01-07,Tour durch Westeuropa im sonnigen Herbst - entlang der Côte d`Azur,1716,10960
https://saiht.de/legacy/urlaub/2011_scandinavien.html,2012-11-01,Städtetour nach Skandinavien - und dann einmal um die Ostsee,2334,15039
https://saiht.de/legacy/urlaub/2010_georgien.html,2010-11-18,Zu Besuch bei den Delegierten aus der Ukraine und Georgien,6572,41070
https://saiht.de/legacy/urlaub/2009_jordanien.html,2009-08-10,Mit dem Auto nach Jordanien,4735,28774
https://saiht.de/legacy/urlaub/2008_usa.html,2009-04-22,Die Ostküste der USA: Florida und New York,8100,50872
https://saiht.de/legacy/urlaub/2008_tatra.html,2009-01-01,Herbsturlaub in der Hohen Tatra,2989,19564
https://saiht.de/legacy/urlaub/2008_ruegen.html,2008-05-13,Fahrradurlaub auf Rügen,462,2757
https://saiht.de/legacy/urlaub/2007_elbrus.html,2008-05-13,Elbrus im Kaukasus,638,4043
https://saiht.de/legacy/urlaub/2006_italy.html,2006-10-30,Gardasee im Oktober 2006,753,5103
https://saiht.de/legacy/urlaub/2005_osteuropa.html,2006-02-02,Rundreise durch Sdosteuropa,1452,9635
https://saiht.de/legacy/urlaub/2004_transsib.html,2005-05-05,21000 km mit der Transsibirischen Eisenbahn,362,2556
https://saiht.de/legacy/urlaub/2003_elbsandstein.html,2007-05-15,Kurzurlaub im Elbsandsteingebirge,36,255
https://saiht.de/legacy/urlaub/2002_ukraine.html,2012-12-09,Sommerschule in der Ukraine,776,5470
https://saiht.de/legacy/urlaub/2001_fahrrad.html,2001-10-03,mit dem Rad nach Rumnien,1126,8107
https://saiht.de/legacy/urlaub/2000_afrika.html,2009-01-01,7 Wochen Afrika,3135,20608
