Link,Date,Title,Word Count,Character Count
https://saiht.de/blog/2025/12/19/history-of-course-615/,2025-12-19,History of course 615,1307,7130
https://saiht.de/blog/2025/12/18/reactivation-2025/,2025-12-18,Reactivation 2025,306,1797
https://saiht.de/blog/2025/11/18/teacher-day-in-vietnam/,2025-11-18,Teacher day in Vietnam,164,935
https://saiht.de/blog/2025/10/19/12-years-down-four-more-years-to-go/,2025-10-19,12 years down &#8211; four more years to go,1736,9738
https://saiht.de/blog/2025/06/05/gehen-wir-noch-einen-trinken/,2025-06-05,Gehen wir noch einen trinken?,178,1005
https://saiht.de/blog/2025/06/04/two-visitors-from-germany/,2025-06-04,Two visitors from Germany,167,1004
https://saiht.de/blog/2019/03/26/ai-und-ml/,2019-03-26,AI und ML,258,1669
https://saiht.de/blog/2019/03/05/sciencefair-2019/,2019-03-05,Sciencefair 2019,254,1600
https://saiht.de/blog/2017/03/12/spring-race-10km-um-den-golfplatz/,2017-03-12,Spring Race 10km um den Golfplatz,228,1407
https://saiht.de/blog/2017/02/28/waffelverkauf/,2017-02-28,Waffelverkauf,282,1770
https://saiht.de/blog/2017/01/15/who-is-faster-you-or-the-city/,2017-01-15,You or the City &#8211; Who is faster?,199,1208
https://saiht.de/blog/2017/01/13/berichte-von-kollegen/,2017-01-13,Berichte von Kollegen,107,661
https://saiht.de/blog/2016/09/17/am-strand-von-vung-tau/,2016-09-17,Am Strand von Vũng Tàu,319,1905
https://saiht.de/blog/2016/09/16/ernaehrungsumstellung/,2016-09-16,Ernährungsumstellung,133,849
https://saiht.de/blog/2016/09/12/langsames-internet/,2016-09-12,Langsames Internet,211,1321
https://saiht.de/blog/2016/09/09/holzwerkstatt-1-regal-in-timelapse/,2016-09-09,Holzwerkstatt 1 &#8211; Regal in TimeLapse,143,906
https://saiht.de/blog/2016/09/09/fahrt-zur-schule-mit-der-gopro-yi-xiaomi/,2016-09-09,Fahrt zur Schule mit der GoPro (Yi Xiaomi),156,973
https://saiht.de/blog/2016/09/03/topcase-fuer-das-motorrad/,2016-09-03,Topcase für das Motorrad,275,1669
