Title,Link,Word Count
"History of course 615","https://saiht.de/blog/2025/12/19/history-of-course-615/",1211
"Reactivation 2025","https://saiht.de/blog/2025/12/18/reactivation-2025/",191
"Teacher day in Vietnam","https://saiht.de/blog/2025/11/18/teacher-day-in-vietnam/",81
"12 years down &#8211; four more years to go","https://saiht.de/blog/2025/10/19/12-years-down-four-more-years-to-go/",1644
"Gehen wir noch einen trinken?","https://saiht.de/blog/2025/06/05/gehen-wir-noch-einen-trinken/",93
"Two visitors from Germany","https://saiht.de/blog/2025/06/04/two-visitors-from-germany/",88
"AI und ML","https://saiht.de/blog/2019/03/26/ai-und-ml/",181
"Sciencefair 2019","https://saiht.de/blog/2019/03/05/sciencefair-2019/",178
"Spring Race 10km um den Golfplatz","https://saiht.de/blog/2017/03/12/spring-race-10km-um-den-golfplatz/",122
"Waffelverkauf","https://saiht.de/blog/2017/02/28/waffelverkauf/",158
"You or the City &#8211; Who is faster?","https://saiht.de/blog/2017/01/15/who-is-faster-you-or-the-city/",115
"Berichte von Kollegen","https://saiht.de/blog/2017/01/13/berichte-von-kollegen/",23
"Am Strand von Vũng Tàu","https://saiht.de/blog/2016/09/17/am-strand-von-vung-tau/",143
"Ernährungsumstellung","https://saiht.de/blog/2016/09/16/ernaehrungsumstellung/",60
"Langsames Internet","https://saiht.de/blog/2016/09/12/langsames-internet/",135
"Holzwerkstatt 1 &#8211; Regal in TimeLapse","https://saiht.de/blog/2016/09/09/holzwerkstatt-1-regal-in-timelapse/",59
"Fahrt zur Schule mit der GoPro (Yi Xiaomi)","https://saiht.de/blog/2016/09/09/fahrt-zur-schule-mit-der-gopro-yi-xiaomi/",66
"Topcase für das Motorrad","https://saiht.de/blog/2016/09/03/topcase-fuer-das-motorrad/",167
"Holzbestellung für die Holzwerkstatt","https://saiht.de/blog/2016/09/02/holzbestellung-fuer-die-holzwerkstatt/",131
"Vier Klassen in einer Klasse?","https://saiht.de/blog/2016/08/29/vier-klassen-in-einer-klasse/",117
"überschwemmte Schule","https://saiht.de/blog/2016/08/27/ueberschwemmte-schule/",98
"Erster Schultag","https://saiht.de/blog/2016/08/26/erster-schultag/",97
